,product_title,product_price,product_img_url,product_rating,product_rating_count
36,Levi's Men's 569 Loose Straight Fit Jeans,$48.65,https://m.media-amazon.com/images/I/81jiVGVXS2L._AC_UL400_.jpg,4.6,"34,472"
37,QBK 2T-13Years Girls' Softball Pants Kids' Youth Boys' Baseball Practice Pant Toddler tee Ball Pants,$28.99,https://m.media-amazon.com/images/I/51DHmuZmCQL._AC_UL400_.jpg,4.1,37
38,QBK 2T/3T/4T/5T/6T/7T Toddler Boy's Knicker Baseball Pants with Side Piping/Braid,$28.99,https://m.media-amazon.com/images/I/51cqPJMUO9L._AC_UL400_.jpg,4.3,24
39,Silver Jeans Co. Men's Craig Classic Fit Bootcut Jeans,$75.56,https://m.media-amazon.com/images/I/71OqBWC53eL._AC_UL400_.jpg,4.5,"2,171"
40,SweatyRocks Women's Casual Button High Rise Skinny Denim Jeans,$44.99,https://m.media-amazon.com/images/I/71vLak1hwuL._AC_UL400_.jpg,3.9,973
41,Wrangler Authentics Men's Classic 5-Pocket Regular Fit Flex Jean,$32.08,https://m.media-amazon.com/images/I/81CGtpNkP7L._AC_UL400_.jpg,4.6,"52,374"
42,Levi's Women's Premium 501 Skinny Jeans,$57.98,https://m.media-amazon.com/images/I/51UDRMB49jL._AC_UL400_.jpg,3.9,"1,751"
43,Alleson Athletic Unisex-Teen Youth Pull on Baseball Pant,N/A,https://m.media-amazon.com/images/I/51gUnvlDPgL._AC_UL400_.jpg,4.5,394
44,Democracy Women's Petite Ab Solution Straight Leg Jean,$57.50,https://m.media-amazon.com/images/I/81bWuQhKxwL._AC_UL400_.jpg,4.3,"1,324"
45,Wrangler Men's Retro Slim Fit Straight Leg Jean,$52.23,https://m.media-amazon.com/images/I/714l4CY-y6L._AC_UL400_.jpg,4.4,"9,002"
46,Lee Men's Extreme Motion Athletic Fit Tapered Leg Jean,$39.85,https://m.media-amazon.com/images/I/51MmKHu1jAL._AC_UL400_.jpg,4.7,"10,713"
47,Lee Women's Instantly Slims Classic Relaxed Fit Monroe Straight Leg Jean,$32.90,https://m.media-amazon.com/images/I/61Y3Viur4mL._AC_UL400_.jpg,4.2,"13,214"
48,Lee Women's Relaxed-fit Side Elastic Tapered-leg Jean,$37.95,https://m.media-amazon.com/images/I/71zb4ajO0kL._AC_UL400_.jpg,3.9,"3,036"
49,Lee Women's Relaxed Fit Straight Leg Jean,$34.89,https://m.media-amazon.com/images/I/71eHyhjkmNL._AC_UL400_.jpg,4.3,"18,608"
50,Levi's Men's 501 Original Style Shrink-to-fit Jeans (Regular and Big & Tall),N/A,https://m.media-amazon.com/images/I/51JO5pSxNuL._AC_UL400_.jpg,4.4,"19,654"
51,SweatyRocks Women's Ripped Boyfriend Jeans Distressed Denim Ankle Length Jeans,$43.99,https://m.media-amazon.com/images/I/71B1s1BepjL._AC_UL400_.jpg,3.8,"3,334"
52,HUDSON Men's Blake Slim Straight Jean Rp,$205.00,https://m.media-amazon.com/images/I/717NfjEqH1L._AC_UL400_.jpg,4.1,39
53,NYDJ Women's Marilyn Straight Denim Jeans,$59.98,https://m.media-amazon.com/images/I/81ebrDwIJHL._AC_UL400_.jpg,4.2,"5,165"
54,Buffalo David Bitton Men's Relaxed Straight Driven Jeans,$71.99,https://m.media-amazon.com/images/I/81RCRFvYqyS._AC_UL400_.jpg,4.3,"2,431"
55,Mavi Men's Zach Regular Rise Straight Leg Jeans,$128.00,https://m.media-amazon.com/images/I/81vLXVcKBFL._AC_UL400_.jpg,4.6,101
56,Lucky Brand Men's 363 Vintage Straight Jean,$57.05,https://m.media-amazon.com/images/I/91zWSwGj8mL._AC_UL400_.jpg,4.4,"2,241"
57,Levi's Men's 550 '92 Relaxed Jean,$55.65,https://m.media-amazon.com/images/I/81y9Z0KPWRL._AC_UL400_.jpg,3.7,64
58,Wrangler Women's As Real As Wrangler Classic Fit Mid Rise Boot Cut Jean,$36.22,https://m.media-amazon.com/images/I/61oUrQ75ozL._AC_UL400_.jpg,4.1,967
59,Lee Men's Regular Fit Straight Leg Jean Pant,$44.02,https://m.media-amazon.com/images/I/91+XgDW8hYL._AC_UL400_.jpg,4.4,721
60,FALABELLA Men's Signature Stretch Skinny-fit Jeans - Denim Pants Essential Clothing W One Button Clossing Style,$38.00,https://m.media-amazon.com/images/I/71AePBzC2zL._AC_UL400_.jpg,4.4,22
61,AITITIA Men's Ripped Regular Fit Jeans,$33.98,https://m.media-amazon.com/images/I/61Jnxv4MSaL._AC_UL400_.jpg,4.2,"3,291"
62,Kenneth Cole Mens Jeans Slim Fit and Athletic Fit - Mens Stretch Jeans - 5-Pocket Jeans for Men,$91.99,https://m.media-amazon.com/images/I/51mtPTT4FgL._AC_UL400_.jpg,4.4,91
63,QBK 2T-13Years Girls' Softball Pants Kids' Youth Boys' Baseball Practice Pant Toddler tee Ball Pants,$28.99,https://m.media-amazon.com/images/I/51DHmuZmCQL._AC_UL400_.jpg,4.1,37
64,G-Star Raw Men's Revend Skinny Fit Jeans,$69.06,https://m.media-amazon.com/images/I/816WOMFsKML._AC_UL400_.jpg,4.4,"3,706"
65,Cinch Boys' White Label Regular Jeans,$41.03,https://m.media-amazon.com/images/I/61HZBfPqFiL._AC_UL400_.jpg,4.7,119
66,Levi's Boys' 510 Skinny Fit Performance Jeans,N/A,https://m.media-amazon.com/images/I/61hrAFwu-fL._AC_UL400_.jpg,4.7,"2,502"
67,Levi's® Vintage 1954 501 Tapered Jeans,$202.80,https://m.media-amazon.com/images/I/81Bn5G5LJEL._AC_UL400_.jpg,N/A,N/A
68,NYDJ Women's Petite Barbara Bootcut Jeans | Flare & Slimming Fit Pants,$99.00,https://m.media-amazon.com/images/I/41gRIm34VKL._AC_UL400_.jpg,3.8,322
69,Levi's Men's 501 '93 Straight Jeans,N/A,https://m.media-amazon.com/images/I/519JCUyzuIL._AC_UL400_.jpg,4.0,321
70,Lee Men's Regular Fit Straight Leg Jean,$36.90,https://m.media-amazon.com/images/I/71EmaA-ZHFL._AC_UL400_.jpg,4.5,"28,482"
71,Nautica Traditional Collection's Men's Relaxed Fit Jean Pant,$44.95,https://m.media-amazon.com/images/I/71Z1ef2qSbL._AC_UL400_.jpg,4.0,1
72,"IZOD Men's Classic Denim Jeans (Regular, Straight, and Relaxed Fit)",$59.50,https://m.media-amazon.com/images/I/71AKo80IKoL._AC_UL400_.jpg,4.2,269
73,Levi's 501 Original Fit Men's Jeans (Regular and Big & Tall),N/A,https://m.media-amazon.com/images/I/81G1Wrcx7UL._AC_UL400_.jpg,4.4,"8,439"
74,Levi's Men's 501 Original Fit Jeans,N/A,https://m.media-amazon.com/images/I/913fQp-qCNL._AC_UL400_.jpg,4.5,"82,811"
75,Levi's Men's 559 Relaxed Straight Jeans,N/A,https://m.media-amazon.com/images/I/5137bplE4kL._AC_UL400_.jpg,4.5,"47,887"
76,Baggy Wide Leg Jeans Non-Stretch Fabric High Waist Loose YKK Zipper for All Leg Types Suitable for All Kinds of People,$40.99,https://m.media-amazon.com/images/I/71QMet8BdeL._AC_UL400_.jpg,4.1,500
77,HUE Women's Original Jeans Capri Leggings,N/A,https://m.media-amazon.com/images/I/51clV71ZGWL._AC_UL400_.jpg,3.9,48
78,Levi's Men's Western Fit Cowboy Jeans (Regular and Big & Tall),$48.65,https://m.media-amazon.com/images/I/61CiCo3oFEL._AC_UL400_.jpg,4.4,"2,996"
79,Levi's Boys' 511 Slim Fit Performance Jeans,N/A,https://m.media-amazon.com/images/I/81aHWDFBHkL._AC_UL400_.jpg,4.7,"1,335"
80,HUNGSON Men Skinny Slim Fit Casual Jeans Dyeing Stretch Straight Fashion Denim Pants,$35.99,https://m.media-amazon.com/images/I/51fvCH1BauL._AC_UL400_.jpg,4.2,116
81,Astylish Womens High Waisted Baggy Jeans Boyfriend Cropped Denim Pants,$36.89,https://m.media-amazon.com/images/I/61nmDV0x+wL._AC_UL400_.jpg,3.9,38
82,QBK 2T/3T/4T/5T Toddler Baseball Pants Youth Softball Pants Kids Tee Ball Pants for Boy Girl,$26.99,https://m.media-amazon.com/images/I/41fzWWcHdwL._AC_UL400_.jpg,4.7,292
83,Levi's Women's 501 Original Fit Jeans,$55.65,https://m.media-amazon.com/images/I/51u5biWUQmL._AC_UL400_.jpg,4.0,162
84,Cinch Men's Black Label Loose Fit Jean,$60.45,https://m.media-amazon.com/images/I/71LVMltKjML._AC_UL400_.jpg,4.6,209
85,Levi's Boys' 511 Slim Fit Jeans,N/A,https://m.media-amazon.com/images/I/81sb1tU3LLL._AC_UL400_.jpg,4.7,"8,311"
86,Levi's Men's 517 Bootcut Jean,$48.65,https://m.media-amazon.com/images/I/81MUQDiyFLL._AC_UL400_.jpg,4.5,"22,084"
87,EnllerviiD Men's Jeans with Cargo Pockets Loose Comfort Hip Hop Denim Straight Relaxed Fit Multi Pockets Jeans,$43.99,https://m.media-amazon.com/images/I/71dmZPLMInL._AC_UL400_.jpg,4.2,73
88,QBK 2T/3T/4T/5T/6T/7T Toddler Boy's Knicker Baseball Pants with Side Piping/Braid,$27.99,https://m.media-amazon.com/images/I/51dUyqGw8rL._AC_UL400_.jpg,4.3,24
89,"Easton EC90 Case Unisex Adult, Black",$60.00,https://m.media-amazon.com/images/I/811JNU9sB0L._AC_UL400_.jpg,4.7,10
90,DANT BULUN Men's Ripped Distressed Destroyed Slim Fit Straight Leg Denim Jeans,$32.99,https://m.media-amazon.com/images/I/91z6WzsbjEL._AC_UL400_.jpg,4.0,"5,656"
91,Soojun Mens Elastic Waist Jeans Relaxed Fit with Zipper and Button,$32.99,https://m.media-amazon.com/images/I/61jN2VPW5cL._AC_UL400_.jpg,4.3,"1,231"
92,KUNMI Womens Curvy High Waist Stretch Butt Lifting Skinny Colombian Jeans,$36.99,https://m.media-amazon.com/images/I/61u9MUHEtpS._AC_UL400_.jpg,3.7,"3,861"
93,KUNMI Women's Ripped Boyfriend Slim Fit Jeans Frayed Distressed Stretchy Denim Pants,$36.99,https://m.media-amazon.com/images/I/615bZr5C0JL._AC_UL400_.jpg,3.9,"1,197"
94,EVALESS Ripped Jeans for Women Plaid Patch Boyfriend Skinny Distressed Denim Jean Pants,$42.98,https://m.media-amazon.com/images/I/71mD-JJ95lL._AC_UL400_.jpg,4.2,"1,529"
95,DANT BULUN Men's Ripped Slim Straight Fit Moto Biker Jeans with Zipper Deco,$38.99,https://m.media-amazon.com/images/I/8187oEJL5uL._AC_UL400_.jpg,4.4,"2,263"
96,Nudie Jeans Men's Lean Dean Jean in Dry Cold Black,$147.48,https://m.media-amazon.com/images/I/716uxTnszfS._AC_UL400_.jpg,4.6,49
97,Amazon Essentials Men's Skinny-Fit Comfort Stretch Jean (Previously Goodthreads),$38.90,https://m.media-amazon.com/images/I/81nwOUY7BML._AC_UL400_.jpg,4.3,"3,379"
98,Scotch & Soda Men's Regular-Fit Jean,$200.00,https://m.media-amazon.com/images/I/81j2fn9dx5L._AC_UL400_.jpg,4.5,88
99,HDLTE Women Ripped Boyfriends Jeans Distressed High Waist Baggy Denim Pants Wide Leg Straight Trousers Y2k Streetwear Pants…,$42.99,https://m.media-amazon.com/images/I/61U5oat3TcL._AC_UL400_.jpg,4.0,"1,679"
100,PajamaJeans Mens Jeans - Elastic Waist Pants Men,$62.99,https://m.media-amazon.com/images/I/71zuwlZZw+L._AC_UL400_.jpg,4.2,"3,106"
101,Resfeber Women's Ripped Boyfriend Jeans Cute Distressed Jeans Stretch Skinny Jeans with Hole,$42.99,https://m.media-amazon.com/images/I/61K5KPwwrBL._AC_UL400_.jpg,4.2,"25,529"
102,Signature by Levi Strauss & Co. Gold Label Men's Relaxed Fit Flex Jeans (Available in Big & Tall),N/A,https://m.media-amazon.com/images/I/519ekc2hUqL._AC_UL400_.jpg,4.5,"42,122"
103,KUNMI Women's Ripped Mid Waisted Boyfriend Jeans Loose Fit Distressed Stretchy Denim Pants,$36.99,https://m.media-amazon.com/images/I/712E50CTGfL._AC_UL400_.jpg,3.9,"1,687"
104,Amazon Essentials Men's Straight-Fit Stretch Jean,N/A,https://m.media-amazon.com/images/I/81A9YuWmDiL._AC_UL400_.jpg,4.3,"11,178"
